fid_1,ID,Var,FloodSusc,Source_Dat,BRGY_NAME,BRGY_TYPE,brgyid,Final_Clus,AreaInHas,Composite_,Shape_Length,Shape_Area,Point_Count,Join_ID
1.000000000000000,483273.000000000000000,1,HF,MGB,Tagabinet,rural,175316057,NORTWEST,162.061768000000001,HIGH-MGB,36516.896849042212125,1682142.056100277928635,2,1
2.000000000000000,483274.000000000000000,3,MF,MGB,Tagabinet,rural,175316057,NORTWEST,57.440894999999998,MODERATE-MGB,17072.880970510843326,596187.788872036966495,0,2
3.000000000000000,483275.000000000000000,1,HF,DOST-NOAH,Tagabinet,rural,175316057,NORTWEST,11.461399000000000,LOW-NOAH,5180.467825975742016,118963.146292470322805,0,3
4.000000000000000,483276.000000000000000,2,LF,DOST-NOAH,Tagabinet,rural,175316057,NORTWEST,36.446018000000002,MODERATE-NOAH,17200.990423270934116,378285.634895579190925,3,4
5.000000000000000,483277.000000000000000,3,MF,DOST-NOAH,Tagabinet,rural,175316057,NORTWEST,186.716766000000007,HIGH-NOAH,65611.449678044707980,1938006.155606956453994,24,5
6.000000000000000,483278.000000000000000,2,LF,MGB,San Rafael,rural,175316049,NORTHEAST,2.547349000000000,LOW-MGB,987.423208808417371,26420.133543982043193,27,6
7.000000000000000,483279.000000000000000,1,HF,MGB,San Rafael,rural,175316049,NORTHEAST,143.654602000000011,HIGH-MGB,41699.201363547181245,1490304.750584855442867,35,7
8.000000000000000,483280.000000000000000,3,MF,MGB,San Rafael,rural,175316049,NORTHEAST,11.897803000000000,MODERATE-MGB,3207.281076483951892,123398.086428499082103,33,8
9.000000000000000,483281.000000000000000,1,HF,DOST-NOAH,San Rafael,rural,175316049,NORTHEAST,23.911187999999999,LOW-NOAH,10569.580704275178505,247999.848465592542198,107,9
10.000000000000000,483282.000000000000000,2,LF,DOST-NOAH,San Rafael,rural,175316049,NORTHEAST,288.898803999999984,MODERATE-NOAH,194532.476307200529845,2997628.387594681233168,9,10
11.000000000000000,483283.000000000000000,3,MF,DOST-NOAH,San Rafael,rural,175316049,NORTHEAST,165.303040000000010,HIGH-NOAH,96463.108596710269921,1715247.964143977966160,0,11
12.000000000000000,483284.000000000000000,2,LF,MGB,Lucbuan,rural,175316021,NORTHEAST,94.659058000000002,LOW-MGB,11260.290183574059483,981856.899737902684137,84,12
13.000000000000000,483285.000000000000000,1,HF,MGB,Lucbuan,rural,175316021,NORTHEAST,356.628174000000001,HIGH-MGB,53055.150785038960748,3699418.349300422240049,120,13
14.000000000000000,483286.000000000000000,3,MF,MGB,Lucbuan,rural,175316021,NORTHEAST,116.217560000000006,MODERATE-MGB,30409.778642950117501,1205557.863378931535408,69,14
15.000000000000000,483287.000000000000000,1,HF,DOST-NOAH,Lucbuan,rural,175316021,NORTHEAST,22.925219999999999,LOW-NOAH,11447.911257848021705,237799.866061245091259,94,15
16.000000000000000,483288.000000000000000,2,LF,DOST-NOAH,Lucbuan,rural,175316021,NORTHEAST,151.893981999999994,MODERATE-NOAH,58190.862385503583937,1575601.555334593635052,106,16
17.000000000000000,483289.000000000000000,3,MF,DOST-NOAH,Lucbuan,rural,175316021,NORTHEAST,70.142944000000000,HIGH-NOAH,48760.650038558451342,727694.724409855320118,21,17
18.000000000000000,483290.000000000000000,2,LF,MGB,Simpocan,rural,175316056,SOUTHWEST,40.444949999999999,LOW-MGB,9431.852537592516455,419233.621997734298930,0,18
19.000000000000000,483291.000000000000000,1,HF,MGB,Simpocan,rural,175316056,SOUTHWEST,90.473595000000003,HIGH-MGB,19091.931717677492998,937823.280828625545837,1,19
20.000000000000000,483292.000000000000000,3,MF,MGB,Simpocan,rural,175316056,SOUTHWEST,47.882820000000002,MODERATE-MGB,20789.679603998905804,496326.164833599294070,0,20
21.000000000000000,483293.000000000000000,1,HF,DOST-NOAH,Simpocan,rural,175316056,SOUTHWEST,12.965140999999999,LOW-NOAH,6749.101542475049428,134383.928360739257187,0,21
22.000000000000000,483294.000000000000000,2,LF,DOST-NOAH,Simpocan,rural,175316056,SOUTHWEST,341.832306000000017,MODERATE-NOAH,169838.933532426803140,3542747.420993919018656,3,22
23.000000000000000,483295.000000000000000,3,MF,DOST-NOAH,Simpocan,rural,175316056,SOUTHWEST,155.104629999999986,HIGH-NOAH,69148.569968077790691,1607515.762330775381997,1,23
24.000000000000000,483296.000000000000000,2,LF,MGB,Montilble,rural,175316040,SOUTHEAST,10.571592000000001,LOW-MGB,4168.231248531479650,109496.168354562250897,0,24
25.000000000000000,483297.000000000000000,1,HF,MGB,Montilble,rural,175316040,SOUTHEAST,187.811981000000003,HIGH-MGB,54268.160590010476881,1945278.480252921581268,0,25
