,Building Code,Hazard Type,Risk Level
5,2603000142,Landslide,Low
5,2603000144,Landslide,Low
5,2603000145,Landslide,Low
5,2603000151,Landslide,Low
5,2603000155,Landslide,Low
5,2603000157,Landslide,Low
5,2603000159,Landslide,Low
5,2603000161,Landslide,Low
5,2603000167,Landslide,Low
5,2603000173,Landslide,Low
5,2603000176,Landslide,Low
5,2603000187,Landslide,Low
5,2603000188,Landslide,Low
5,2603000194,Landslide,Low
5,2603000195,Landslide,Low
5,2603000296,Landslide,Low
5,2603000302,Landslide,Low
5,2603000327,Landslide,Low
5,2603000328,Landslide,Low
5,2603000329,Landslide,Low
5,2603000352,Landslide,Low
5,2603000928,Landslide,Low
5,2603001203,Landslide,Low
