Building Code,Hazard Type,Risk Level
2602001043,Tsunami,Tsunami Prone
2603001076,Tsunami,Tsunami Prone
2603001077,Tsunami,Tsunami Prone
2603001078,Tsunami,Tsunami Prone
2603001079,Tsunami,Tsunami Prone
2603001080,Tsunami,Tsunami Prone
2603001081,Tsunami,Tsunami Prone
2603001082,Tsunami,Tsunami Prone
2603001083,Tsunami,Tsunami Prone
2603001084,Tsunami,Tsunami Prone
2603001085,Tsunami,Tsunami Prone
2603001086,Tsunami,Tsunami Prone
2603001087,Tsunami,Tsunami Prone
2603001088,Tsunami,Tsunami Prone
2603001089,Tsunami,Tsunami Prone
2603001090,Tsunami,Tsunami Prone
2603001091,Tsunami,Tsunami Prone
2603001092,Tsunami,Tsunami Prone
2603001093,Tsunami,Tsunami Prone
2603001094,Tsunami,Tsunami Prone
2603001095,Tsunami,Tsunami Prone
2603001096,Tsunami,Tsunami Prone
2603001097,Tsunami,Tsunami Prone
2603001098,Tsunami,Tsunami Prone
2603001099,Tsunami,Tsunami Prone
2603001100,Tsunami,Tsunami Prone
2603001101,Tsunami,Tsunami Prone
2603001102,Tsunami,Tsunami Prone
2603001103,Tsunami,Tsunami Prone
2603001104,Tsunami,Tsunami Prone
2603001105,Tsunami,Tsunami Prone
2603001106,Tsunami,Tsunami Prone
2603001108,Tsunami,Tsunami Prone
2603001109,Tsunami,Tsunami Prone
2603001110,Tsunami,Tsunami Prone
2603001111,Tsunami,Tsunami Prone
2603001112,Tsunami,Tsunami Prone
2603001113,Tsunami,Tsunami Prone
