FloodSusc,brgy,area_fl,Shape_Length,Shape_Area,Point_Count,Join_ID
VHF,Salingsingan,9.068400000000000,20781.104289716076892,99216.114045539085055,0,1
VHF,Dulli,46.782600000000002,19670.883217904498451,511932.484486558183562,6,2
VHF,Ammoweg,36.210700000000003,24301.678103579695744,396240.903596466931049,3,3
no flooding,Ammoweg,2955.084699999999884,35614.822704677746515,32343397.752823427319527,455,4
no flooding,Camandag,1609.904999999999973,22963.145549531269353,17624013.964459281414747,172,5
no flooding,Dulli,2691.759700000000066,44180.559655979996023,29461217.662988897413015,411,6
no flooding,Poblacion,1750.259800000000041,33928.593714547860145,19145588.668784163892269,575,7
no flooding,Salingsingan,1284.628300000000081,22934.394849439981044,14053225.102251870557666,234,8
no flooding,Napo,1260.445799999999963,14767.104840451886048,13791144.592524737119675,56,9
VHF,Tiblac,40.245399999999997,43017.354699161514873,440215.562450113415252,2,10
no flooding,Tiblac,2535.017400000000180,54423.239195838192245,27727366.295979645103216,550,11
VHF,Labang,54.411600000000000,31657.113050263855257,594959.258188724750653,0,12
no flooding,Labang,1898.728100000000040,44136.469278689255589,20763048.365564342588186,141,13
